TABLE,FIELD,TYPE,NULL,KEY,DEFAULT,EXTRA
NAV_BASE,AUTO_VOICE_ID_FLAG,varchar(1),YES,,,
NAV_BASE,MNT_CAT_CODE,varchar(1),YES,,,
NAV_BASE,VOICE_CALL,varchar(60),YES,,,
NAV_BASE,CHAN,varchar(4),YES,,,
NAV_BASE,FREQ,decimal(5,2),YES,,,
NAV_BASE,MKR_IDENT,varchar(30),YES,,,
NAV_BASE,MKR_SHAPE,varchar(1),YES,,,
NAV_BASE,MKR_BRG,int(3),YES,,,
NAV_BASE,ALT_CODE,varchar(2),YES,,,
NAV_BASE,DME_SSV,varchar(2),YES,,,
NAV_BASE,LOW_NAV_ON_HIGH_CHART_FLAG,varchar(1),YES,,,
NAV_BASE,Z_MKR_FLAG,varchar(1),YES,,,
NAV_BASE,FSS_ID,varchar(4),YES,,,
NAV_BASE,FSS_NAME,varchar(30),YES,,,
NAV_BASE,FSS_HOURS,varchar(65),YES,,,
NAV_BASE,NOTAM_ID,varchar(4),YES,,,
NAV_BASE,QUAD_IDENT,varchar(20),YES,,,
NAV_BASE,PITCH_FLAG,varchar(1),YES,,,
NAV_BASE,CATCH_FLAG,varchar(1),YES,,,
NAV_BASE,SUA_ATCAA_FLAG,varchar(1),YES,,,
NAV_BASE,RESTRICTION_FLAG,varchar(1),YES,,,
NAV_BASE,HIWAS_FLAG,varchar(1),YES,,,
NAV_CKPT,EFF_DATE,varchar(10),NO,,,
NAV_CKPT,NAV_ID,varchar(4),NO,,,
NAV_CKPT,NAV_TYPE,varchar(25),NO,,,
NAV_CKPT,STATE_CODE,varchar(2),YES,,,
NAV_CKPT,CITY,varchar(40),NO,,,
NAV_CKPT,COUNTRY_CODE,varchar(2),NO,,,
NAV_CKPT,ALTITUDE,int(5),YES,,,
NAV_CKPT,BRG,int(3),NO,,,
NAV_CKPT,AIR_GND_CODE,varchar(2),NO,,,
NAV_CKPT,CHK_DESC,varchar(75),NO,,,
NAV_CKPT,ARPT_ID,varchar(4),YES,,,
NAV_CKPT,STATE_CHK_CODE,varchar(2),NO,,,
NAV_RMK,EFF_DATE,varchar(10),NO,,,
NAV_RMK,NAV_ID,varchar(4),NO,,,
NAV_RMK,NAV_TYPE,varchar(25),NO,,,
NAV_RMK,STATE_CODE,varchar(2),YES,,,
NAV_RMK,CITY,varchar(40),NO,,,
NAV_RMK,COUNTRY_CODE,varchar(2),NO,,,
NAV_RMK,TAB_NAME,varchar(30),NO,,,
NAV_RMK,REF_COL_NAME,varchar(30),NO,,,
NAV_RMK,REF_COL_SEQ_NO,int(3),NO,,,
NAV_RMK,REMARK,varchar(600),NO,,,
PFR_BASE,EFF_DATE,varchar(10),NO,,,
PFR_BASE,ORIGIN_ID,varchar(5),NO,,,
PFR_BASE,ORIGIN_CITY,varchar(40),YES,,,
PFR_BASE,ORIGIN_STATE_CODE,varchar(2),YES,,,
PFR_BASE,ORIGIN_COUNTRY_CODE,varchar(2),NO,,,
PFR_BASE,DSTN_ID,varchar(5),NO,,,
PFR_BASE,DSTN_CITY,varchar(40),YES,,,
PFR_BASE,DSTN_STATE_CODE,varchar(2),YES,,,
PFR_BASE,DSTN_COUNTRY_CODE,varchar(2),NO,,,
PFR_BASE,PFR_TYPE_CODE,varchar(3),NO,,,
PFR_BASE,ROUTE_NO,int(2),NO,,,
PFR_BASE,SPECIAL_AREA_DESCRIP,varchar(75),YES,,,
PFR_BASE,ALT_DESCRIP,varchar(40),YES,,,
PFR_BASE,AIRCRAFT,varchar(50),YES,,,
PFR_BASE,HOURS,varchar(15),YES,,,
PFR_BASE,ROUTE_DIR_DESCRIP,varchar(20),YES,,,
PFR_BASE,DESIGNATOR,varchar(5),YES,,,
PFR_BASE,NAR_TYPE,varchar(20),YES,,,
PFR_BASE,INLAND_FAC_FIX,varchar(5),YES,,,
PFR_BASE,COASTAL_FIX,varchar(5),YES,,,
PFR_BASE,DESTINATION,varchar(40),YES,,,
PFR_BASE,ROUTE_STRING,varchar(300),YES,,,
PFR_SEG,EFF_DATE,varchar(10),NO,,,
PFR_SEG,ORIGIN_ID,varchar(5),NO,,,
PFR_SEG,DSTN_ID,varchar(5),NO,,,
PFR_SEG,PFR_TYPE_CODE,varchar(3),NO,,,
PFR_SEG,ROUTE_NO,int(2),NO,,,
PFR_SEG,SEGMENT_SEQ,int(3),NO,,,
PFR_SEG,SEG_VALUE,varchar(30),NO,,,
PFR_SEG,SEG_TYPE,varchar(6),NO,,,
PFR_SEG,STATE_CODE,varchar(2),YES,,,
PFR_SEG,COUNTRY_CODE,varchar(2),YES,,,
PFR_SEG,ICAO_REGION_CODE,varchar(2),YES,,,
PFR_SEG,NAV_TYPE,varchar(25),YES,,,
PFR_SEG,NEXT_SEG,varchar(30),YES,,,
PJA_BASE,EFF_DATE,varchar(10),NO,,,
PJA_BASE,PJA_ID,varchar(6),NO,,,
PJA_BASE,NAV_ID,varchar(4),YES,,,
PJA_BASE,NAV_TYPE,varchar(25),YES,,,
PJA_BASE,RADIAL,decimal(5,2),YES,,,
PJA_BASE,DISTANCE,decimal(7,2),YES,,,
PJA_BASE,NAVAID_NAME,varchar(30),YES,,,
PJA_BASE,STATE_CODE,varchar(2),YES,,,
PJA_BASE,CITY,varchar(30),YES,,,
PJA_BASE,LATITUDE,varchar(14),NO,,,
PJA_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
PJA_BASE,LONGITUDE,varchar(15),NO,,,
PJA_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
PJA_BASE,ARPT_ID,varchar(4),YES,,,
PJA_BASE,SITE_NO,varchar(9),YES,,,
PJA_BASE,SITE_TYPE_CODE,varchar(1),YES,,,
PJA_BASE,DROP_ZONE_NAME,varchar(50),YES,,,
PJA_BASE,MAX_ALTITUDE,int(5),YES,,,
PJA_BASE,MAX_ALTITUDE_TYPE_CODE,varchar(3),YES,,,
PJA_BASE,PJA_RADIUS,decimal(4,2),YES,,,
PJA_BASE,CHART_REQUEST_FLAG,varchar(1),YES,,,
PJA_BASE,PUBLISH_CRITERIA,varchar(1),YES,,,
PJA_BASE,DESCRIPTION,varchar(100),YES,,,
PJA_BASE,TIME_OF_USE,varchar(150),YES,,,
PJA_BASE,FSS_ID,varchar(4),YES,,,
PJA_BASE,FSS_NAME,varchar(30),YES,,,
PJA_BASE,PJA_USE,varchar(8),YES,,,
PJA_BASE,VOLUME,varchar(1),YES,,,
PJA_BASE,PJA_USER,varchar(150),YES,,,
PJA_BASE,REMARK,varchar(600),YES,,,
PJA_CON,EFF_DATE,varchar(10),NO,,,
PJA_CON,PJA_ID,varchar(6),NO,,,
PJA_CON,FAC_ID,varchar(4),YES,,,
PJA_CON,FAC_NAME,varchar(30),NO,,,
PJA_CON,LOC_ID,varchar(4),NO,,,
PJA_CON,COMMERCIAL_FREQ,decimal(7,3),NO,,,
PJA_CON,COMMERCIAL_CHART_FLAG,varchar(1),NO,,,
PJA_CON,MIL_FREQ,decimal(7,3),YES,,,
PJA_CON,MIL_CHART_FLAG,varchar(1),YES,,,
PJA_CON,SECTOR,varchar(30),YES,,,
PJA_CON,CONTACT_FREQ_ALTITUDE,varchar(20),YES,,,
RDR,EFF_DATE,varchar(10),NO,,,
RDR,FACILITY_ID,varchar(4),NO,,,
RDR,FACILITY_TYPE,varchar(7),NO,,,
RDR,STATE_CODE,varchar(2),YES,,,
RDR,COUNTRY_CODE,varchar(2),NO,,,
RDR,RADAR_TYPE,varchar(10),NO,,,
RDR,RADAR_NO,int(3),NO,,,
RDR,RADAR_HRS,varchar(200),NO,,,
RDR,REMARK,varchar(1500),YES,,,
STAR_APT,EFF_DATE,varchar(10),NO,,,
STAR_APT,STAR_COMPUTER_CODE,varchar(12),NO,,,
STAR_APT,ARTCC,varchar(12),YES,,,
STAR_APT,BODY_NAME,varchar(110),NO,,,
STAR_APT,BODY_SEQ,int(1),NO,,,
STAR_APT,ARPT_ID,varchar(4),NO,,,
STAR_APT,RWY_END_ID,varchar(3),YES,,,
STAR_BASE,EFF_DATE,varchar(10),NO,,,
STAR_BASE,ARRIVAL_NAME,varchar(30),NO,,,
STAR_BASE,AMENDMENT_NO,varchar(5),NO,,,
STAR_BASE,ARTCC,varchar(12),YES,,,
STAR_BASE,STAR_AMEND_EFF_DATE,varchar(10),NO,,,
STAR_BASE,RNAV_FLAG,varchar(1),NO,,,
STAR_BASE,STAR_COMPUTER_CODE,varchar(12),NO,,,
STAR_BASE,SERVED_ARPT,varchar(200),NO,,,
STAR_RTE,EFF_DATE,varchar(10),NO,,,
STAR_RTE,STAR_COMPUTER_CODE,varchar(12),NO,,,
STAR_RTE,ARTCC,varchar(12),YES,,,
STAR_RTE,ROUTE_PORTION_TYPE,varchar(10),NO,,,
STAR_RTE,ROUTE_NAME,varchar(110),NO,,,
STAR_RTE,BODY_SEQ,int(1),NO,,,
STAR_RTE,TRANSITION_COMPUTER_CODE,varchar(20),YES,,,
STAR_RTE,POINT_SEQ,int(3),NO,,,
STAR_RTE,POINT,varchar(10),NO,,,
STAR_RTE,ICAO_REGION_CODE,varchar(2),YES,,,
STAR_RTE,POINT_TYPE,varchar(25),NO,,,
STAR_RTE,NEXT_POINT,varchar(10),YES,,,
STAR_RTE,ARPT_RWY_ASSOC,varchar(200),YES,,,
WXL_BASE,EFF_DATE,varchar(10),NO,,,
WXL_BASE,WEA_ID,varchar(4),NO,,,
WXL_BASE,CITY,varchar(40),NO,,,
WXL_BASE,STATE_CODE,varchar(2),YES,,,
WXL_BASE,COUNTRY_CODE,varchar(2),NO,,,
WXL_BASE,LAT_DEG,int(2),NO,,,
WXL_BASE,LAT_MIN,int(2),NO,,,
WXL_BASE,LAT_SEC,decimal(6,4),NO,,,
WXL_BASE,LAT_HEMIS,varchar(1),NO,,,
WXL_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
WXL_BASE,LONG_DEG,int(3),NO,,,
WXL_BASE,LONG_MIN,int(2),NO,,,
WXL_BASE,LONG_SEC,decimal(6,4),NO,,,
WXL_BASE,LONG_HEMIS,varchar(1),NO,,,
WXL_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
WXL_BASE,ELEV,int(5),NO,,,
WXL_BASE,SURVEY_METHOD_CODE,varchar(1),NO,,,
WXL_SVC,EFF_DATE,varchar(10),NO,,,
WXL_SVC,WEA_ID,varchar(4),NO,,,
WXL_SVC,CITY,varchar(40),NO,,,
WXL_SVC,STATE_CODE,varchar(2),YES,,,
WXL_SVC,COUNTRY_CODE,varchar(2),NO,,,
WXL_SVC,WEA_SVC_TYPE_CODE,varchar(5),NO,,,
WXL_SVC,WEA_AFFECT_AREA,varchar(200),YES,,,
